id_usuario;edad;nacionalidad;origen;tipo_turista_preferido;compañia_viaje;frecuencia_viaje;restricciones_movilidad;presupuesto_estimado;sitios_visitados;calificacion_sitios_previos;tiempo_estancia_promedio
U00024;53;Colombia;Bogotá;gastronómico;pareja;1;ninguna;167206;3;3.9;318
U00025;41;Colombia;Bucaramanga;cultural;familia;2;ninguna;283691;10;4.5;180
U00026;49;Colombia;Manizales;gastronómico;pareja;1;ninguna;226400;25;3.4;93
U00027;65;Colombia;Neiva;naturaleza;amigos;3;ninguna;246585;2;3.6;298
U00028;66;Colombia;Cúcuta;naturaleza;pareja;2;ninguna;184920;3;4.1;229
U00029;38;Colombia;Manizales;aventura;solo;1;ninguna;215147;31;4.1;64
U00030;44;Colombia;Tunja;gastronómico;solo;2;ninguna;294411;22;4.2;154
U00031;45;Estados Unidos;Extranjero;gastronómico;amigos;1;ninguna;244601;7;3.9;342
U00032;54;México;Extranjero;aventura;amigos;4;ninguna;357521;5;4.3;159
U00033;21;Colombia;Manizales;cultural;familia;4;ninguna;353178;27;4.6;344
U00034;31;Colombia;Tunja;cultural;solo;2;ninguna;337851;7;4.1;277
U00035;40;Estados Unidos;Extranjero;relax_fotografía;pareja;3;ninguna;338142;36;3.8;234
U00036;37;Colombia;Cali;relax_fotografía;pareja;3;ninguna;221010;20;3.8;342
U00037;35;Colombia;Villavicencio;cultural;solo;1;ninguna;236068;27;3.4;49
U00038;67;Colombia;Bucaramanga;naturaleza;solo;1;leve;256402;5;4.1;295
U00039;55;Colombia;Barranquilla;naturaleza;familia;4;ninguna;139149;19;4.7;249
U00040;64;Colombia;Ibagué;cultural;familia;1;ninguna;279166;34;4.4;82
U00041;32;Colombia;Barranquilla;relax_fotografía;amigos;1;silla_ruedas;204193;35;5.0;40
U00042;54;Colombia;Cartagena;naturaleza;solo;3;ninguna;179879;11;3.9;260
U00043;68;Colombia;Neiva;naturaleza;pareja;2;ninguna;171978;14;4.6;212
U00044;58;Colombia;Barranquilla;aventura;pareja;2;ninguna;81446;8;3.6;176
U00045;26;Argentina;Extranjero;relax_fotografía;solo;3;ninguna;207458;5;3.9;256
U00046;24;Colombia;Medellín;relax_fotografía;amigos;1;ninguna;286965;22;4.5;222
U00047;68;Colombia;Tunja;cultural;solo;2;ninguna;323304;39;3.9;259
U00048;20;Colombia;Pereira;naturaleza;familia;1;ninguna;94486;10;3.6;280
U00049;41;Colombia;Villavicencio;cultural;pareja;2;ninguna;209493;37;4.0;230
U00050;64;Colombia;Ibagué;gastronómico;amigos;3;ninguna;179506;1;4.8;237
U00051;68;Colombia;Cúcuta;gastronómico;pareja;1;ninguna;272760;32;4.3;108
U00052;57;Colombia;Pereira;aventura;familia;3;ninguna;229251;14;4.4;282
U00053;65;Colombia;Manizales;naturaleza;pareja;1;ninguna;216338;24;4.8;234
U00054;56;Colombia;Ibagué;gastronómico;pareja;1;ninguna;264448;28;4.2;353
U00055;41;Colombia;Pasto;aventura;pareja;3;ninguna;187577;35;4.1;44
U00056;45;Colombia;Villavicencio;gastronómico;pareja;1;ninguna;309162;38;4.5;174
U00057;68;Colombia;Medellín;cultural;familia;2;ninguna;267649;28;4.1;157
U00058;36;Colombia;Ibagué;cultural;familia;2;leve;193361;10;5.0;205
U00059;53;Colombia;Tunja;aventura;familia;1;leve;194626;4;3.2;334
U00060;51;Colombia;Tunja;cultural;solo;4;ninguna;216654;2;4.1;292
U00061;34;Colombia;Bucaramanga;relax_fotografía;pareja;3;ninguna;176826;28;4.9;77
U00062;24;Estados Unidos;Extranjero;naturaleza;solo;3;ninguna;245734;39;4.3;270
U00063;50;Colombia;Cúcuta;naturaleza;amigos;2;ninguna;316609;10;4.6;292
U00064;40;Colombia;Cúcuta;naturaleza;familia;2;ninguna;215032;2;3.9;63
U00065;64;Colombia;Cúcuta;cultural;pareja;3;ninguna;255355;0;3.8;290
U00066;67;Colombia;Pasto;gastronómico;familia;3;ninguna;80000;7;4.4;108
U00067;33;Brasil;Extranjero;naturaleza;solo;1;silla_ruedas;393702;35;4.5;351
U00068;24;Colombia;Tunja;naturaleza;amigos;2;ninguna;271625;24;4.5;153
U00069;29;Colombia;Cúcuta;gastronómico;solo;2;ninguna;191527;4;3.7;245
U00070;29;Colombia;Barranquilla;naturaleza;pareja;1;ninguna;183984;39;3.4;172
U00071;21;España;Extranjero;naturaleza;familia;2;leve;172858;38;4.3;110
U00072;30;Colombia;Bogotá;relax_fotografía;amigos;2;ninguna;361560;2;3.5;187
U00073;49;Colombia;Barranquilla;cultural;pareja;3;ninguna;233251;14;3.5;79
U00074;33;Alemania;Extranjero;naturaleza;familia;2;ninguna;276607;22;4.7;51
U00075;53;Colombia;Bogotá;cultural;amigos;1;ninguna;209544;32;3.0;264
U00076;53;Colombia;Bucaramanga;cultural;pareja;2;ninguna;262361;4;3.8;260
U00077;59;Argentina;Extranjero;cultural;pareja;3;ninguna;196782;13;4.2;211
U00078;50;Colombia;Bogotá;aventura;pareja;1;ninguna;332542;3;4.7;163
U00079;23;Colombia;Cartagena;aventura;pareja;2;ninguna;275115;20;4.9;67
U00080;61;Colombia;Villavicencio;cultural;pareja;2;ninguna;174713;6;3.9;280
U00081;43;Colombia;Pasto;relax_fotografía;pareja;2;ninguna;127743;30;4.4;271
U00082;33;Colombia;Neiva;gastronómico;pareja;1;ninguna;238474;28;4.8;45
U00083;55;Colombia;Bogotá;naturaleza;familia;2;ninguna;150310;27;4.2;70
U00084;32;Colombia;Cali;cultural;familia;2;ninguna;175976;33;4.6;265
U00085;68;Colombia;Ibagué;cultural;pareja;1;ninguna;244590;25;5.0;43
U00086;33;Colombia;Manizales;aventura;familia;3;ninguna;117728;17;4.7;261
U00087;23;Colombia;Tunja;aventura;familia;3;ninguna;289716;10;4.5;357
U00088;30;Perú;Extranjero;cultural;familia;4;ninguna;181420;26;4.6;100
U00089;64;Colombia;Barranquilla;cultural;amigos;3;ninguna;358569;14;4.6;262
U00090;58;Colombia;Manizales;relax_fotografía;pareja;1;ninguna;251745;26;4.2;319
U00091;53;Colombia;Bucaramanga;cultural;amigos;3;silla_ruedas;243820;26;4.7;85
U00092;24;Colombia;Neiva;gastronómico;pareja;2;ninguna;364960;15;3.8;167
U00093;67;Estados Unidos;Extranjero;relax_fotografía;solo;1;ninguna;219944;0;4.0;213
U00094;18;Francia;Extranjero;relax_fotografía;pareja;2;ninguna;185441;23;4.4;171
U00095;61;Colombia;Tunja;cultural;pareja;2;ninguna;285046;14;4.1;230
U00096;64;Estados Unidos;Extranjero;naturaleza;familia;2;ninguna;159868;30;3.9;165
U00097;40;Colombia;Medellín;cultural;familia;3;ninguna;291143;37;4.2;126
U00098;47;Colombia;Cartagena;naturaleza;familia;3;ninguna;229750;12;3.9;66
U00099;34;Colombia;Bucaramanga;naturaleza;familia;1;ninguna;174246;26;5.0;30
U00100;52;España;Extranjero;cultural;pareja;1;leve;113184;12;3.9;337
U00101;31;Colombia;Medellín;cultural;familia;2;ninguna;276723;8;4.7;261
U00102;57;México;Extranjero;cultural;familia;3;ninguna;274317;39;4.4;227
U00103;48;Colombia;Bucaramanga;naturaleza;familia;2;ninguna;171359;17;4.1;320
U00104;60;Colombia;Pereira;naturaleza;solo;1;ninguna;368840;36;3.5;180
U00105;25;Brasil;Extranjero;aventura;familia;3;ninguna;255251;2;4.2;325
U00106;61;Colombia;Cartagena;naturaleza;solo;1;ninguna;232807;23;3.3;256
U00107;35;Colombia;Manizales;naturaleza;familia;3;ninguna;314268;34;4.0;340
U00108;26;Estados Unidos;Extranjero;cultural;pareja;2;ninguna;175871;25;4.7;211
U00109;53;Colombia;Cartagena;naturaleza;familia;4;ninguna;253182;38;4.4;205
U00110;52;Colombia;Pasto;cultural;solo;2;ninguna;196343;8;4.5;69
U00111;32;Colombia;Bucaramanga;cultural;amigos;2;ninguna;220853;39;4.6;66
U00112;47;Colombia;Neiva;aventura;familia;2;ninguna;182932;4;4.6;83
U00113;32;Colombia;Pereira;naturaleza;pareja;4;silla_ruedas;221511;31;3.8;266
U00114;21;Colombia;Villavicencio;cultural;amigos;3;ninguna;332702;8;4.0;351
U00115;25;Colombia;Tunja;naturaleza;familia;3;ninguna;80000;25;3.2;142
U00116;50;Colombia;Pereira;aventura;solo;2;ninguna;162825;1;4.1;292
U00117;67;Colombia;Barranquilla;naturaleza;familia;1;ninguna;175708;12;5.0;122
U00118;29;Colombia;Cali;cultural;pareja;1;ninguna;246583;0;4.1;84
U00119;65;Colombia;Manizales;cultural;familia;4;leve;108474;38;4.5;82
U00120;47;Colombia;Cali;aventura;pareja;2;ninguna;355886;14;4.3;136
U00121;63;Colombia;Villavicencio;cultural;familia;1;ninguna;379689;0;4.2;47
U00122;65;Colombia;Bogotá;cultural;pareja;3;ninguna;165646;3;4.3;139
U00123;33;Colombia;Pasto;relax_fotografía;familia;2;ninguna;246894;19;4.6;205
U00124;59;Colombia;Cartagena;cultural;pareja;2;ninguna;142630;2;3.8;167
U00125;67;Colombia;Barranquilla;aventura;pareja;2;ninguna;256619;39;4.3;314
U00126;52;Colombia;Cali;naturaleza;pareja;1;ninguna;220180;39;4.1;353
U00127;39;Colombia;Bogotá;cultural;amigos;2;ninguna;241837;27;4.1;347
U00128;62;Colombia;Bucaramanga;cultural;pareja;1;ninguna;279033;9;4.4;246
U00129;55;Colombia;Ibagué;aventura;pareja;1;ninguna;190213;1;4.2;70
U00130;54;México;Extranjero;cultural;solo;2;ninguna;80000;27;4.2;69
U00131;24;Colombia;Barranquilla;cultural;familia;1;ninguna;254803;8;4.6;59
U00132;51;Colombia;Barranquilla;aventura;pareja;3;ninguna;204851;20;3.9;63
U00133;51;Colombia;Manizales;naturaleza;solo;1;ninguna;203719;14;4.1;42
U00134;25;España;Extranjero;cultural;pareja;2;ninguna;297854;36;4.2;281
U00135;19;Colombia;Cali;cultural;solo;2;ninguna;124821;1;3.9;130
U00136;22;Colombia;Neiva;cultural;solo;2;leve;215584;38;5.0;162
U00137;49;Argentina;Extranjero;cultural;familia;2;ninguna;344014;27;4.3;74
U00138;33;Colombia;Ibagué;cultural;pareja;1;ninguna;155560;3;4.1;52
U00139;59;Colombia;Tunja;cultural;pareja;4;ninguna;275288;4;4.7;192
U00140;35;Argentina;Extranjero;aventura;pareja;3;ninguna;186472;18;3.7;345
U00141;23;Colombia;Tunja;cultural;familia;1;ninguna;257227;16;4.3;357
U00142;42;Colombia;Bogotá;aventura;pareja;4;ninguna;220987;0;4.3;168
U00143;23;Colombia;Medellín;relax_fotografía;familia;3;ninguna;219269;37;4.0;185
U00144;37;Colombia;Bogotá;gastronómico;pareja;1;ninguna;354952;38;4.8;125
U00145;43;Colombia;Tunja;aventura;amigos;1;ninguna;281531;38;4.7;121
U00146;54;Colombia;Barranquilla;aventura;pareja;2;ninguna;321045;31;3.9;190
U00147;47;Brasil;Extranjero;cultural;pareja;1;ninguna;256856;17;4.0;232
U00148;28;Colombia;Neiva;aventura;familia;3;ninguna;303044;20;4.4;276
U00149;24;Colombia;Medellín;naturaleza;solo;2;ninguna;255308;6;4.4;48
U00150;42;Estados Unidos;Extranjero;naturaleza;familia;1;ninguna;313045;6;3.9;285
U00151;49;Argentina;Extranjero;aventura;solo;3;ninguna;209622;31;4.3;153
U00152;49;Estados Unidos;Extranjero;aventura;familia;1;ninguna;296216;15;4.3;76
U00153;65;Colombia;Bucaramanga;cultural;solo;2;ninguna;272970;34;4.2;296
U00154;48;Alemania;Extranjero;aventura;familia;2;ninguna;209227;27;4.4;45
U00155;62;Colombia;Neiva;naturaleza;pareja;1;ninguna;398674;25;5.0;40
U00156;59;Colombia;Neiva;cultural;solo;1;ninguna;329526;35;4.4;62
U00157;69;Colombia;Pereira;cultural;pareja;2;ninguna;432157;11;5.0;117
U00158;38;Colombia;Cartagena;gastronómico;pareja;4;ninguna;200467;22;5.0;39
U00159;26;Colombia;Barranquilla;naturaleza;pareja;4;ninguna;231350;29;4.1;36
U00160;33;Colombia;Pereira;cultural;pareja;1;ninguna;146737;30;3.7;37
U00161;52;Colombia;Bogotá;naturaleza;pareja;1;ninguna;115649;10;4.5;182
U00162;43;Colombia;Cartagena;cultural;pareja;1;ninguna;138474;34;4.6;191
U00163;34;Colombia;Cartagena;cultural;amigos;2;ninguna;107044;36;4.3;268
U00164;29;Colombia;Neiva;naturaleza;familia;1;ninguna;226114;15;4.3;347
U00165;45;Colombia;Villavicencio;cultural;pareja;1;ninguna;210469;39;4.1;293
U00166;19;Colombia;Bucaramanga;naturaleza;solo;4;ninguna;253894;22;3.1;266
U00167;40;Colombia;Manizales;aventura;amigos;2;ninguna;228030;3;4.3;100
U00168;49;Colombia;Medellín;cultural;solo;2;ninguna;101795;10;4.2;302
U00169;43;Colombia;Villavicencio;gastronómico;amigos;2;ninguna;184140;20;3.2;322
U00170;50;Perú;Extranjero;naturaleza;amigos;3;ninguna;193316;16;3.9;285
U00171;60;Colombia;Ibagué;aventura;amigos;1;ninguna;174857;10;4.3;59
U00172;34;Colombia;Bucaramanga;aventura;amigos;3;ninguna;227731;5;4.3;233
U00173;56;Colombia;Barranquilla;cultural;amigos;2;ninguna;148844;27;3.6;261
U00174;69;Colombia;Manizales;cultural;amigos;1;ninguna;332446;7;5.0;228
U00175;48;Colombia;Cali;cultural;pareja;2;ninguna;138636;3;3.8;298
U00176;47;Colombia;Ibagué;aventura;solo;1;leve;173492;28;3.4;276
U00177;62;Colombia;Pasto;aventura;pareja;2;ninguna;310678;18;3.2;146
U00178;32;Colombia;Cartagena;cultural;pareja;3;ninguna;311445;1;3.6;176
U00179;52;Colombia;Manizales;naturaleza;pareja;3;ninguna;308032;8;3.3;112
U00180;36;Colombia;Cúcuta;cultural;pareja;2;ninguna;314961;30;3.9;202
U00181;22;Colombia;Cartagena;aventura;pareja;2;ninguna;200206;29;3.8;260
U00182;66;Colombia;Cartagena;cultural;familia;2;ninguna;174283;18;4.7;41
U00183;41;Colombia;Pasto;naturaleza;solo;3;ninguna;80000;34;4.8;143
U00184;55;Colombia;Ibagué;naturaleza;familia;2;ninguna;220553;30;4.8;351
U00185;27;Colombia;Tunja;gastronómico;familia;2;ninguna;174718;14;4.2;350
U00186;48;Colombia;Villavicencio;cultural;pareja;3;ninguna;376227;10;3.9;310
U00187;35;Colombia;Neiva;naturaleza;pareja;2;ninguna;242703;26;4.9;226
U00188;19;Colombia;Pasto;naturaleza;amigos;1;ninguna;331370;17;3.8;253
U00189;41;Colombia;Villavicencio;naturaleza;familia;3;leve;184106;19;4.0;165
U00190;54;Colombia;Ibagué;naturaleza;solo;2;ninguna;315081;19;3.8;335
U00191;21;Colombia;Bogotá;naturaleza;pareja;2;ninguna;309499;24;3.9;115
U00192;57;Colombia;Pasto;gastronómico;familia;1;ninguna;104399;2;4.4;271
U00193;45;Colombia;Pasto;naturaleza;amigos;1;ninguna;129179;27;3.8;338
U00194;53;Colombia;Cúcuta;relax_fotografía;familia;1;ninguna;114984;10;4.6;354
U00195;51;Colombia;Cali;naturaleza;pareja;3;ninguna;201413;15;5.0;268
U00196;60;Colombia;Ibagué;naturaleza;pareja;3;ninguna;163139;2;3.8;114
U00197;60;Colombia;Barranquilla;aventura;pareja;4;ninguna;238120;22;3.9;200
U00198;57;Colombia;Cali;naturaleza;familia;2;ninguna;127452;13;3.4;124
U00199;59;Colombia;Cartagena;gastronómico;pareja;2;ninguna;251423;2;4.0;108
U00200;50;Colombia;Cali;naturaleza;solo;2;ninguna;194565;32;4.0;159
U00201;53;Colombia;Neiva;aventura;amigos;2;ninguna;195205;34;3.8;60
U00202;48;Colombia;Pereira;aventura;amigos;3;ninguna;147896;24;4.9;224
U00203;42;Colombia;Neiva;aventura;familia;2;ninguna;170914;5;4.0;133
U00204;61;Colombia;Barranquilla;aventura;pareja;2;ninguna;260519;15;3.1;178
U00205;59;Colombia;Bucaramanga;aventura;pareja;1;ninguna;97519;19;3.9;182
U00206;50;Colombia;Cali;cultural;familia;3;ninguna;213101;26;4.7;151
U00207;59;Colombia;Pereira;cultural;amigos;4;ninguna;209539;8;3.4;178
U00208;49;Colombia;Bucaramanga;cultural;pareja;1;silla_ruedas;143142;24;5.0;317
U00209;65;Colombia;Bucaramanga;cultural;pareja;4;silla_ruedas;200446;10;4.6;48
U00210;27;Brasil;Extranjero;aventura;pareja;3;ninguna;150120;22;3.7;37
U00211;18;Colombia;Pereira;gastronómico;pareja;1;ninguna;219230;19;4.0;159
U00212;63;Colombia;Pasto;naturaleza;familia;3;ninguna;166483;17;3.9;211
U00213;19;Colombia;Manizales;aventura;pareja;4;ninguna;189359;35;4.6;204
U00214;41;Colombia;Neiva;naturaleza;pareja;1;ninguna;173542;6;4.8;247
U00215;31;Colombia;Cali;aventura;pareja;1;leve;169847;8;4.9;357
U00216;25;Colombia;Tunja;aventura;pareja;1;ninguna;110042;6;3.7;316
U00217;22;Colombia;Neiva;cultural;solo;2;ninguna;190034;35;4.1;39
U00218;50;Colombia;Bucaramanga;naturaleza;pareja;1;ninguna;165575;38;3.3;254
U00219;21;Colombia;Cali;naturaleza;amigos;3;ninguna;333521;26;3.4;256
U00220;30;Colombia;Ibagué;aventura;familia;1;ninguna;191441;11;4.4;35
U00221;41;Colombia;Cali;aventura;pareja;1;ninguna;81676;4;3.7;74
U00222;50;Francia;Extranjero;naturaleza;pareja;1;ninguna;300458;6;4.7;236
U00223;49;Francia;Extranjero;aventura;pareja;1;ninguna;312415;32;4.7;267
U00224;33;Colombia;Tunja;naturaleza;pareja;3;ninguna;285119;4;4.4;67
U00225;47;Colombia;Pasto;cultural;amigos;3;ninguna;218784;34;4.6;224
U00226;66;Colombia;Villavicencio;cultural;pareja;1;ninguna;282869;20;5.0;337
U00227;52;Colombia;Manizales;aventura;pareja;2;ninguna;263903;15;4.3;211
U00228;52;Colombia;Pereira;gastronómico;solo;1;ninguna;273467;25;3.4;114
U00229;65;Colombia;Manizales;naturaleza;amigos;2;ninguna;292132;36;4.9;117
U00230;59;Colombia;Bogotá;naturaleza;amigos;1;ninguna;278936;37;3.9;159
U00231;68;Colombia;Cali;aventura;pareja;4;ninguna;277021;38;4.7;325
U00232;38;España;Extranjero;aventura;amigos;3;ninguna;101823;2;3.5;89
U00233;45;México;Extranjero;aventura;pareja;1;ninguna;121045;34;4.5;49
U00234;64;Colombia;Pereira;aventura;amigos;2;ninguna;202593;29;3.4;251
U00235;69;Francia;Extranjero;aventura;solo;1;ninguna;337321;4;5.0;325
U00236;25;Colombia;Cartagena;gastronómico;pareja;2;ninguna;141690;34;4.6;345
U00237;37;Colombia;Neiva;relax_fotografía;familia;1;ninguna;131137;20;4.3;64
U00238;25;Colombia;Medellín;naturaleza;amigos;1;ninguna;243567;30;4.6;286
U00239;44;Colombia;Manizales;cultural;solo;2;ninguna;251981;17;3.5;98
U00240;48;Colombia;Villavicencio;gastronómico;amigos;2;ninguna;210847;17;4.5;280
U00241;45;Colombia;Pereira;cultural;pareja;2;ninguna;211747;2;3.8;147
U00242;28;Colombia;Barranquilla;naturaleza;pareja;1;ninguna;268456;39;4.0;166
U00243;24;Colombia;Ibagué;cultural;amigos;1;ninguna;142359;25;5.0;60
U00244;47;Colombia;Medellín;aventura;solo;1;ninguna;250153;39;4.2;88
U00245;21;Colombia;Villavicencio;naturaleza;familia;1;ninguna;230018;35;4.2;113
U00246;30;Colombia;Cúcuta;cultural;pareja;3;ninguna;214731;17;3.7;275
U00247;47;Colombia;Villavicencio;naturaleza;amigos;3;ninguna;300989;24;4.5;156
U00248;27;Colombia;Tunja;naturaleza;solo;2;ninguna;182071;20;3.0;120
U00249;42;Alemania;Extranjero;naturaleza;pareja;1;ninguna;283514;23;4.1;221
U00250;57;Colombia;Manizales;cultural;pareja;1;ninguna;123822;16;4.1;140
U00251;41;Colombia;Barranquilla;cultural;familia;1;ninguna;471856;32;4.1;219
U00252;54;Colombia;Medellín;aventura;pareja;1;ninguna;121829;6;4.2;290
U00253;32;Colombia;Tunja;aventura;amigos;4;ninguna;254708;34;3.8;287
U00254;51;Colombia;Bogotá;cultural;solo;2;ninguna;287873;27;4.5;218
U00255;56;Alemania;Extranjero;aventura;solo;2;ninguna;212930;13;4.3;155
U00256;28;Estados Unidos;Extranjero;cultural;pareja;2;leve;229695;5;4.5;162
U00257;55;Colombia;Bucaramanga;cultural;familia;4;ninguna;267515;28;4.4;193
U00258;18;Colombia;Bogotá;cultural;pareja;2;ninguna;274769;5;3.7;332
U00259;24;Colombia;Pasto;gastronómico;familia;1;ninguna;254701;24;4.6;128
U00260;69;Colombia;Cúcuta;relax_fotografía;pareja;3;ninguna;232199;17;4.9;337
U00261;37;Colombia;Cúcuta;cultural;solo;1;ninguna;177378;23;4.0;186
U00262;55;Colombia;Pasto;cultural;pareja;3;ninguna;202142;7;3.7;176
U00263;58;Colombia;Villavicencio;relax_fotografía;amigos;3;ninguna;296102;16;3.7;161
U00264;30;Colombia;Cartagena;naturaleza;solo;4;ninguna;333326;15;4.0;200
U00265;66;Colombia;Tunja;aventura;familia;2;ninguna;213154;16;4.0;206
U00266;68;Colombia;Villavicencio;cultural;pareja;1;ninguna;222586;21;4.5;274
U00267;65;Colombia;Medellín;aventura;familia;1;ninguna;161839;4;4.1;140
U00268;44;Colombia;Ibagué;gastronómico;solo;2;ninguna;290107;9;3.8;339
U00269;37;Colombia;Pasto;gastronómico;solo;1;ninguna;147993;28;4.4;300
U00270;24;México;Extranjero;cultural;pareja;2;leve;85934;4;4.6;295
U00271;59;Colombia;Neiva;cultural;solo;3;ninguna;237576;34;3.8;341
U00272;32;Colombia;Cúcuta;naturaleza;pareja;3;ninguna;266476;35;3.4;340
U00273;62;Colombia;Ibagué;cultural;amigos;4;leve;216928;3;4.1;66
U00274;60;Colombia;Neiva;cultural;amigos;2;ninguna;169248;23;4.9;293
U00275;26;Colombia;Bucaramanga;cultural;amigos;2;ninguna;229081;28;4.7;131
U00276;63;Colombia;Medellín;naturaleza;familia;2;leve;311692;15;4.7;357
U00277;35;Colombia;Cali;cultural;pareja;1;ninguna;181924;2;4.1;59
U00278;44;España;Extranjero;aventura;pareja;1;leve;340511;18;4.3;330
U00279;42;Colombia;Pereira;aventura;familia;3;ninguna;266536;0;4.3;154
U00280;56;España;Extranjero;aventura;pareja;1;ninguna;327611;13;4.3;330
U00281;64;Colombia;Ibagué;naturaleza;pareja;2;ninguna;255822;20;4.3;80
U00282;23;Colombia;Cartagena;relax_fotografía;pareja;1;ninguna;224477;9;4.0;287
U00283;62;Colombia;Bogotá;cultural;familia;3;leve;255565;21;3.4;358
U00284;32;Colombia;Cali;cultural;pareja;1;ninguna;308502;33;4.7;182
U00285;46;Canadá;Extranjero;gastronómico;pareja;1;ninguna;240989;23;4.8;309
U00286;57;Colombia;Manizales;naturaleza;solo;1;silla_ruedas;296685;31;4.3;186
U00287;34;Colombia;Pasto;cultural;solo;2;ninguna;215840;35;4.2;264
U00288;59;Colombia;Neiva;cultural;familia;1;ninguna;196603;0;3.9;176
U00289;25;Colombia;Manizales;cultural;pareja;1;ninguna;256546;36;5.0;334
U00290;60;Ecuador;Extranjero;naturaleza;familia;1;ninguna;273487;37;3.3;353
U00291;65;Colombia;Medellín;naturaleza;pareja;4;ninguna;264275;12;4.0;318
U00292;54;Colombia;Villavicencio;aventura;familia;3;leve;367586;16;5.0;225
U00293;56;Colombia;Barranquilla;aventura;pareja;2;ninguna;80000;35;4.5;332
U00294;68;España;Extranjero;cultural;amigos;1;ninguna;277021;27;5.0;296
U00295;64;Colombia;Cali;cultural;familia;1;ninguna;206576;2;3.9;76
U00296;54;Colombia;Barranquilla;cultural;familia;1;ninguna;212427;19;4.7;171
U00297;54;Colombia;Cali;cultural;pareja;2;ninguna;147897;11;4.6;100
U00298;48;Colombia;Ibagué;cultural;solo;1;ninguna;184221;18;4.4;270
U00299;38;Colombia;Cali;naturaleza;pareja;2;ninguna;249896;11;4.0;203
U00300;63;Colombia;Bucaramanga;cultural;familia;2;ninguna;240010;12;5.0;252
U00301;61;Colombia;Medellín;cultural;solo;2;ninguna;225784;28;4.8;286
U00302;54;Colombia;Cartagena;naturaleza;familia;2;ninguna;232168;8;3.6;183
U00303;29;Colombia;Neiva;naturaleza;familia;1;ninguna;226010;28;4.1;240
U00304;51;Colombia;Barranquilla;gastronómico;solo;1;ninguna;242973;14;3.8;84
U00305;26;Colombia;Bucaramanga;naturaleza;familia;3;ninguna;138896;9;3.5;217
U00306;31;Colombia;Barranquilla;cultural;familia;2;ninguna;281621;10;4.0;277
U00307;60;Colombia;Ibagué;naturaleza;solo;4;ninguna;126416;14;4.8;302
U00308;31;Colombia;Pasto;naturaleza;familia;3;ninguna;172917;35;3.9;299
U00309;28;Colombia;Tunja;naturaleza;amigos;2;ninguna;172691;23;3.6;94
U00310;55;Colombia;Pereira;relax_fotografía;pareja;2;ninguna;233177;12;4.0;243
U00311;22;Colombia;Cali;gastronómico;familia;1;ninguna;270452;7;4.7;229
U00312;43;Colombia;Ibagué;aventura;amigos;4;ninguna;80000;33;3.8;89
U00313;33;Colombia;Medellín;naturaleza;solo;2;ninguna;80000;21;3.8;48
U00314;22;Colombia;Tunja;cultural;solo;1;ninguna;187131;28;4.7;235
U00315;42;Estados Unidos;Extranjero;gastronómico;amigos;3;ninguna;154385;15;4.5;213
U00316;50;Colombia;Pasto;gastronómico;pareja;2;ninguna;210100;12;3.9;218
U00317;28;Colombia;Cali;gastronómico;solo;1;leve;204553;19;4.3;90
U00318;28;Colombia;Neiva;aventura;solo;1;ninguna;248620;23;4.2;225
